Snake,County,Latitude,Longitude,Species_Genotype,PC1,PC2,,,
REdC1,Mendocino,39.03175,-123.08163,sirtalis_LVNV,-0.509711758,0.445782577,,,
REdC2,Mendocino,39.03175,-123.08163,sirtalis_LVNV,-0.509711758,0.445782577,,,
REdC5,Mendocino,39.03175,-123.08163,sirtalis_LVNV,-0.509711758,0.445782577,,,
REdC6,Mendocino,39.03175,-123.08163,sirtalis_LVNV,-0.509711758,0.445782577,,,
REdC7,Sonoma,38.41003,-122.59699,sirtalis_LVNV,-0.07137895,0.453880413,,,
REdC8,Mendocino,39.03175,-123.08163,sirtalis_LVNV,-0.509711758,0.445782577,,,
REdC9,Mendocino,39.03175,-123.08163,sirtalis_LVNV,-0.509711758,0.445782577,,,
MTJH1701,Mendocino,39.03175,-123.08163,sirtalis_LVNV,-0.509711758,0.445782577,,,
MTJH1702,Mendocino,39.03175,-123.08163,sirtalis_LVNV,-0.509711758,0.445782577,,,
JSR023,Mendocino,39.031344,-123.07888,sirtalis_LVNV,-0.508654984,0.47334902,,,
JSR015,Mendocino,39.031344,-123.07888,sirtalis_LVNV,-0.509179427,0.525017386,,,
JSR019,Mendocino,39.031344,-123.07888,sirtalis_LVNV,-0.510121031,0.617784526,,,
MTJH412,Curry,42.7385,-124.40327,sirtalis_V,-2.439732996,-0.262503407,,,
MTJH418,Curry,42.7385,-124.40327,sirtalis_V,-2.439782048,-0.257670848,,,
MTJH417,Curry,42.7385,-124.40327,sirtalis_V,-2.439799159,-0.255985072,,,
MTJH411,Curry,42.7385,-124.40327,sirtalis_V,-2.440154154,-0.221010835,,,
MTJH475,Lincoln,45.17043,-123.80289,sirtalis_V,-3.075749483,-0.420116697,,,
MTJH415,Curry,42.7385,-124.40327,sirtalis_V,-2.44052626,-0.184350822,,,
MTJH477,Lincoln,45.17043,-123.80289,sirtalis_V,-3.075886371,-0.406630488,,,
MTJH481,Lincoln,45.17043,-123.80289,sirtalis_V,-3.076022574,-0.393211709,,,
MTJH476,Lincoln,45.17043,-123.80289,sirtalis_V/VA,-3.075639061,-0.430995573,,,
MTJH429,Lane,44.21357,-123.98241,sirtalis_VA,-2.801055471,-0.355743925,,,
MTJH422,Douglas,43.77463,-124.10712,sirtalis_VA,-2.693885755,-0.271152868,,,
MTJH426,Douglas,43.77463,-124.10712,sirtalis_VA,-2.693892599,-0.270478557,,,
MTJH427,Douglas,43.77463,-124.10712,sirtalis_VA,-2.693958761,-0.263960222,,,
MTJH424,Douglas,43.77463,-124.10712,sirtalis_VA,-2.694456941,-0.21487941,,,
MTJH423,Douglas,43.77463,-124.10712,sirtalis_VA,-2.694535971,-0.207093372,,,
CRF3311,Sierra,39.61058,-120.654868,sirtalis_WT,0.332227943,-0.343063604,,,
CRF3186,Placer,39.22491,-120.13742,sirtalis_WT,0.697873329,-0.353935406,,,
MTJH390,Humboldt,41.224985,-124.10523,sirtalis_WT,-1.753728827,-0.192462745,,,
MTJH394,Humboldt,41.224985,-124.10523,sirtalis_WT,-1.753729511,-0.192395314,,,
MTJH399,Humboldt,41.224985,-124.10523,sirtalis_WT,-1.753732021,-0.192148067,,,
CRF3185,Placer,39.22491,-120.13742,sirtalis_WT,0.697857104,-0.352336915,,,
MTJH403,Humboldt,41.224985,-124.10523,sirtalis_WT,-1.753737496,-0.191608618,,,
CRF3041,Siskiyou,41.23005,-122.38249,sirtalis_WT,-1.010729371,-0.325392997,,,
EJE190,Nevada,39.522334,-120.574986,sirtalis_WT,0.399210631,-0.339824574,,,
CRF3040,Siskiyou,41.23005,-122.38249,sirtalis_WT,-1.010735075,-0.324831071,,,
JSR024,Placer,39.33556,-120.2069,sirtalis_WT,0.62708966,-0.354290388,,,
CRF3343,Placer,39.33556,-120.2069,sirtalis_WT,0.627086686,-0.353997454,,,
Wills06,Mendocino,39.44217,-123.35263,sirtalis_WT,-0.772285017,-0.118086256,,,
REdC4,Mendocino,39.74717,-123.63421,sirtalis_WT,-1.006281521,-0.117539726,,,
JSR004,Placer,39.33556,-120.2069,sirtalis_WT,0.627065709,-0.351930735,,,
MTJH381,Mendocino,39.74717,-123.63421,sirtalis_WT,-1.006292016,-0.116505783,,,
EJE191,Nevada,39.522334,-120.574986,sirtalis_WT,0.399174128,-0.336228252,,,
MTJH384,Mendocino,39.74717,-123.63421,sirtalis_WT,-1.006321446,-0.113606248,,,
CRF3215,Fresno,36.934489,-119.247356,sirtalis_WT,1.925457231,-0.244145507,,,
CRF2459,Mendocino,39.89663889,-122.9875,sirtalis_WT,-0.781735099,-0.171419396,,,
CRF2464,Mendocino,39.725189,-122.843814,sirtalis_WT,-0.656539861,-0.167716224,,,
CRF2518,Placer,39.33556,-120.2069,sirtalis_WT,0.626974451,-0.342939929,,,
CRF3342,Placer,39.33556,-120.2069,sirtalis_WT,0.626962561,-0.341768598,,,
JSR025,Placer,39.33556,-120.2069,sirtalis_WT,0.626959883,-0.341504751,,,
CRF2546,Placer,39.2238,-120.13775,sirtalis_WT,0.697963184,-0.336495951,,,
MTJH402,Humboldt,41.224985,-124.10523,sirtalis_WT,-1.753914994,-0.1741215,,,
CRF3184,Placer,39.22491,-120.13742,sirtalis_WT,0.697673153,-0.334214034,,,
